Age,Gender,Discipline,CognitiveScore,LearningStrategyScore,GPA_Class,GPA
20,Female,Crop Production Technology,58.01,42.96,Second Class Lower,2.9
20,Female,Computer Science Technology,43.75,50.56,Third Class,1.91
25,Female,Crop Production Technology,71.07,45.38,Second Class Lower,3.11
18,Male,Science Laboratory Technology,82.26,60.95,Second Class Upper,4.44
18,Female,Science Laboratory Technology,73.1,56.05,Second Class Lower,3.22
23,Female,Science Laboratory Technology,68.55,45.6,Second Class Lower,3.34
22,Female,Science Laboratory Technology,64.14,44.01,Third Class,1.6
25,Female,Science Laboratory Technology,80.5,70.89,Second Class Upper,4.28
18,Male,Computer Science Technology,87.81,65.5,First Class,4.81
21,Male,Home and Rural Economic,72.09,46.63,Second Class Lower,3.28
22,Male,Crop Production Technology,72.48,45.83,Second Class Lower,3.0
23,Male,Horticultural Technology,58.0,49.45,Third Class,1.98
19,Male,Horticultural Technology,57.97,36.01,Third Class,2.13
22,Female,Fisheries Technology,65.85,34.74,Third Class,2.05
18,Female,Computer Science Technology,66.54,52.88,Second Class Lower,3.43
18,Male,Crop Production Technology,84.69,66.1,Second Class Upper,4.34
21,Female,Home and Rural Economic,86.26,72.98,First Class,4.99
21,Female,Computer Science Technology,57.67,36.97,Third Class,2.19
22,Female,Computer Science Technology,86.02,57.25,Second Class Upper,4.41
25,Male,Horticultural Technology,81.39,60.78,Second Class Upper,4.28
22,Male,Crop Production Technology,74.65,64.83,Second Class Upper,3.75
19,Female,Wildlife and Ecotourism Management,92.8,60.07,First Class,4.71
18,Male,Crop Production Technology,61.39,36.14,Third Class,1.43
18,Female,Home and Rural Economic,65.49,32.77,Third Class,1.01
19,Male,Horticultural Technology,78.22,61.81,Second Class Upper,3.68
19,Male,Wildlife and Ecotourism Management,70.27,53.81,Second Class Lower,2.8
20,Female,Wildlife and Ecotourism Management,52.41,48.26,Third Class,2.29
21,Female,Horticultural Technology,72.63,56.8,Second Class Lower,3.09
18,Male,Computer Science Technology,74.37,49.94,Second Class Lower,3.02
22,Male,Home and Rural Economic,73.58,57.18,Second Class Upper,4.22
25,Male,Crop Production Technology,67.95,46.93,Third Class,2.49
19,Male,Crop Production Technology,66.9,35.91,Second Class Lower,3.47
25,Male,Crop Production Technology,68.94,48.56,Second Class Lower,3.24
22,Male,Home and Rural Economic,68.75,52.64,Second Class Lower,3.12
18,Male,Fisheries Technology,94.38,74.95,First Class,4.65
20,Male,Crop Production Technology,62.23,31.0,Third Class,1.4
23,Male,Fisheries Technology,88.29,81.52,First Class,4.61
19,Male,Computer Science Technology,81.87,61.84,Second Class Upper,3.88
24,Male,Fisheries Technology,91.8,72.08,First Class,5.0
20,Male,Home and Rural Economic,58.08,48.8,Second Class Lower,2.8
19,Male,Home and Rural Economic,69.81,56.41,Second Class Lower,2.94
21,Male,Science Laboratory Technology,90.24,61.77,First Class,4.59
20,Female,Wildlife and Ecotourism Management,92.15,65.98,First Class,4.86
21,Male,Fisheries Technology,53.92,35.83,Third Class,1.63
21,Female,Wildlife and Ecotourism Management,62.71,46.29,Third Class,1.82
22,Male,Wildlife and Ecotourism Management,72.41,53.16,Second Class Lower,2.9
20,Female,Crop Production Technology,92.37,70.51,First Class,4.7
25,Female,Home and Rural Economic,73.48,37.91,Second Class Lower,2.87
21,Female,Fisheries Technology,80.56,54.78,Second Class Upper,4.0
19,Male,Wildlife and Ecotourism Management,85.81,59.26,Second Class Upper,3.59
18,Male,Home and Rural Economic,90.15,62.47,First Class,4.9
18,Female,Science Laboratory Technology,85.08,63.14,Second Class Upper,4.03
18,Female,Horticultural Technology,72.78,45.93,Second Class Lower,3.3
24,Female,Horticultural Technology,86.13,71.12,First Class,4.71
18,Female,Horticultural Technology,76.53,62.17,Second Class Upper,3.86
23,Female,Horticultural Technology,69.2,57.56,Second Class Upper,3.59
25,Male,Wildlife and Ecotourism Management,78.98,52.2,Second Class Lower,3.16
18,Female,Horticultural Technology,80.83,69.93,Second Class Upper,3.98
22,Female,Crop Production Technology,58.32,45.92,Second Class Lower,3.12
21,Female,Fisheries Technology,57.99,44.29,Third Class,2.33
18,Male,Fisheries Technology,84.38,55.67,Second Class Upper,4.28
25,Female,Wildlife and Ecotourism Management,84.99,57.98,Second Class Upper,4.21
18,Male,Computer Science Technology,86.06,54.84,Second Class Upper,3.64
18,Female,Computer Science Technology,69.38,47.55,Second Class Lower,3.23
18,Male,Wildlife and Ecotourism Management,85.28,57.39,Second Class Upper,3.58
18,Female,Science Laboratory Technology,69.79,52.53,Second Class Lower,3.28
20,Male,Wildlife and Ecotourism Management,82.73,64.43,Second Class Upper,3.86
18,Male,Home and Rural Economic,71.06,47.91,Second Class Lower,2.89
18,Female,Science Laboratory Technology,78.25,60.13,Second Class Upper,4.31
23,Female,Crop Production Technology,91.25,69.26,First Class,4.81
18,Female,Home and Rural Economic,70.1,42.41,Second Class Lower,3.04
18,Female,Crop Production Technology,73.34,50.91,Second Class Lower,2.82
24,Female,Crop Production Technology,85.01,60.0,Second Class Upper,4.01
18,Male,Horticultural Technology,71.31,58.21,Second Class Upper,4.37
22,Female,Home and Rural Economic,79.0,63.71,Second Class Upper,4.06
18,Female,Fisheries Technology,69.65,60.21,Second Class Upper,4.41
18,Female,Computer Science Technology,72.57,46.69,Second Class Lower,2.89
21,Male,Wildlife and Ecotourism Management,70.37,46.86,Second Class Lower,3.19
18,Female,Horticultural Technology,66.35,47.96,Second Class Lower,3.35
18,Female,Fisheries Technology,56.45,43.42,Third Class,1.94
21,Female,Science Laboratory Technology,76.33,55.49,Second Class Upper,3.59
22,Male,Computer Science Technology,68.84,44.8,Third Class,2.04
19,Male,Crop Production Technology,80.69,66.18,First Class,4.81
18,Female,Home and Rural Economic,91.21,71.62,First Class,4.86
22,Male,Fisheries Technology,82.55,75.79,First Class,4.88
19,Male,Horticultural Technology,94.13,72.41,First Class,4.89
18,Female,Science Laboratory Technology,76.78,52.26,Second Class Lower,3.26
19,Female,Science Laboratory Technology,92.24,77.79,First Class,4.61
18,Female,Wildlife and Ecotourism Management,65.51,35.79,Third Class,1.72
22,Female,Science Laboratory Technology,63.17,36.68,Third Class,2.39
24,Female,Fisheries Technology,92.52,72.38,First Class,4.98
25,Male,Wildlife and Ecotourism Management,53.08,39.39,Third Class,1.14
18,Male,Fisheries Technology,91.33,67.82,First Class,4.77
20,Male,Fisheries Technology,81.57,64.03,Second Class Upper,3.79
18,Female,Horticultural Technology,89.85,71.12,First Class,4.61
20,Male,Wildlife and Ecotourism Management,66.92,42.37,Third Class,1.91
21,Male,Home and Rural Economic,81.0,55.21,Second Class Upper,4.07
18,Male,Computer Science Technology,63.36,41.65,Third Class,1.02
18,Female,Horticultural Technology,96.42,70.23,First Class,4.89
18,Female,Computer Science Technology,50.92,31.5,Third Class,2.47
18,Male,Computer Science Technology,83.68,57.15,Second Class Upper,4.41
20,Male,Computer Science Technology,62.18,40.57,Third Class,1.32
20,Female,Science Laboratory Technology,59.17,39.52,Third Class,2.06
20,Male,Horticultural Technology,65.67,49.92,Second Class Lower,3.09
18,Female,Fisheries Technology,57.08,38.14,Third Class,1.6
18,Male,Crop Production Technology,78.38,58.87,Second Class Upper,4.03
18,Female,Home and Rural Economic,64.61,39.35,Third Class,2.4
21,Female,Home and Rural Economic,75.12,57.69,Second Class Lower,2.82
18,Male,Fisheries Technology,84.27,62.67,Second Class Upper,4.41
18,Male,Horticultural Technology,71.63,54.33,Second Class Lower,3.36
21,Female,Computer Science Technology,70.45,54.92,Second Class Lower,3.32
18,Female,Horticultural Technology,93.07,68.2,First Class,4.88
19,Female,Horticultural Technology,64.48,40.46,Third Class,1.7
18,Male,Science Laboratory Technology,59.47,37.62,Third Class,2.35
19,Female,Crop Production Technology,70.83,54.98,Second Class Lower,3.07
19,Male,Crop Production Technology,74.44,51.77,Second Class Lower,3.42
18,Male,Crop Production Technology,83.0,66.36,Second Class Upper,3.67
24,Female,Home and Rural Economic,69.25,44.42,Second Class Lower,3.0
25,Female,Science Laboratory Technology,96.51,67.35,First Class,4.78
20,Male,Wildlife and Ecotourism Management,56.55,31.02,Third Class,1.57
18,Female,Horticultural Technology,72.86,41.89,Second Class Lower,3.09
20,Male,Home and Rural Economic,66.25,52.94,Second Class Lower,3.14
23,Male,Computer Science Technology,83.61,56.74,Second Class Upper,4.3
18,Female,Crop Production Technology,89.33,65.64,First Class,4.76
18,Female,Crop Production Technology,77.26,61.33,Second Class Upper,3.84
19,Male,Wildlife and Ecotourism Management,87.49,68.78,First Class,4.62
18,Female,Fisheries Technology,62.68,55.66,Second Class Lower,3.08
25,Female,Wildlife and Ecotourism Management,62.55,43.96,Third Class,1.92
21,Female,Horticultural Technology,66.45,35.87,Third Class,2.34
18,Male,Crop Production Technology,68.21,40.53,Second Class Lower,2.88
24,Female,Fisheries Technology,85.7,49.25,Second Class Lower,2.95
22,Male,Science Laboratory Technology,65.19,33.81,Third Class,1.68
21,Female,Science Laboratory Technology,74.98,59.29,Second Class Lower,3.05
20,Male,Science Laboratory Technology,69.7,44.95,Second Class Lower,3.07
21,Female,Crop Production Technology,59.31,28.87,Third Class,2.42
18,Female,Fisheries Technology,69.81,54.1,Second Class Lower,3.02
18,Female,Wildlife and Ecotourism Management,89.82,68.58,First Class,4.75
25,Female,Computer Science Technology,72.64,53.02,Second Class Lower,3.23
18,Male,Computer Science Technology,71.7,60.44,Second Class Upper,3.72
21,Female,Home and Rural Economic,92.18,53.32,Second Class Upper,4.18
24,Male,Fisheries Technology,69.57,59.71,Second Class Lower,3.18
19,Female,Crop Production Technology,65.52,37.43,Third Class,1.8
18,Female,Wildlife and Ecotourism Management,71.03,49.99,Second Class Lower,3.36
22,Male,Wildlife and Ecotourism Management,76.26,59.63,Second Class Upper,3.73
18,Female,Science Laboratory Technology,68.6,50.56,Second Class Lower,3.41
21,Male,Crop Production Technology,56.26,33.62,Third Class,2.0
18,Female,Home and Rural Economic,59.79,48.58,Third Class,2.09
22,Female,Horticultural Technology,90.41,68.34,First Class,4.94
18,Female,Computer Science Technology,73.77,49.21,Second Class Lower,3.36
18,Male,Crop Production Technology,89.34,59.98,Second Class Upper,4.07
25,Male,Computer Science Technology,73.5,46.23,Second Class Lower,3.32
22,Female,Science Laboratory Technology,92.52,71.38,First Class,4.72
18,Male,Fisheries Technology,79.72,57.49,Second Class Upper,4.01
22,Female,Computer Science Technology,66.81,51.41,Second Class Lower,2.84
22,Female,Crop Production Technology,93.14,69.36,First Class,4.54
18,Female,Horticultural Technology,81.44,59.81,Second Class Upper,4.28
18,Female,Wildlife and Ecotourism Management,60.49,39.0,Third Class,1.11
21,Female,Wildlife and Ecotourism Management,60.09,53.49,Third Class,1.3
18,Female,Home and Rural Economic,91.56,73.23,First Class,4.9
18,Female,Home and Rural Economic,92.19,68.69,First Class,4.5
19,Female,Wildlife and Ecotourism Management,86.47,58.54,Second Class Upper,3.77
18,Female,Home and Rural Economic,85.28,58.33,Second Class Upper,4.05
18,Male,Crop Production Technology,75.2,61.83,Second Class Upper,4.06
19,Male,Computer Science Technology,64.48,52.68,Second Class Lower,3.34
18,Female,Horticultural Technology,74.03,58.4,Second Class Upper,3.98
25,Female,Horticultural Technology,52.84,54.12,Third Class,1.91
18,Female,Wildlife and Ecotourism Management,81.73,70.05,First Class,4.86
19,Female,Crop Production Technology,95.72,75.18,First Class,4.75
18,Female,Horticultural Technology,84.26,58.41,Second Class Upper,4.07
18,Female,Crop Production Technology,76.76,54.57,Second Class Lower,3.42
24,Female,Crop Production Technology,61.06,41.2,Third Class,1.72
19,Female,Crop Production Technology,68.48,45.45,Second Class Lower,3.07
18,Male,Crop Production Technology,86.19,66.56,Second Class Upper,3.5
20,Male,Home and Rural Economic,75.58,59.23,Second Class Upper,4.08
19,Male,Computer Science Technology,69.28,49.84,Second Class Lower,2.82
18,Female,Crop Production Technology,80.32,64.73,Second Class Upper,3.97
22,Female,Crop Production Technology,86.26,65.77,First Class,4.9
18,Female,Home and Rural Economic,66.18,37.69,Third Class,1.98
22,Male,Crop Production Technology,63.68,47.57,Second Class Lower,2.99
21,Female,Fisheries Technology,88.35,77.77,First Class,4.89
20,Female,Wildlife and Ecotourism Management,84.62,65.74,Second Class Upper,3.75
21,Female,Science Laboratory Technology,84.1,64.73,Second Class Upper,4.19
21,Male,Home and Rural Economic,76.56,59.01,Second Class Upper,4.07
18,Male,Science Laboratory Technology,85.05,68.95,First Class,4.58
21,Male,Wildlife and Ecotourism Management,63.42,40.67,Third Class,2.62
23,Male,Science Laboratory Technology,76.56,44.29,Second Class Lower,2.94
18,Female,Horticultural Technology,62.5,33.76,Third Class,2.77
18,Female,Computer Science Technology,60.47,43.7,Third Class,1.01
23,Male,Science Laboratory Technology,68.93,52.76,Second Class Lower,2.98
18,Female,Horticultural Technology,55.2,31.68,Third Class,1.36
25,Female,Crop Production Technology,92.79,78.72,First Class,4.51
22,Female,Home and Rural Economic,85.02,76.11,First Class,4.87
25,Female,Home and Rural Economic,70.22,43.32,Second Class Lower,3.28
23,Male,Crop Production Technology,74.34,60.08,Second Class Upper,4.24
21,Male,Computer Science Technology,77.98,53.44,Second Class Upper,3.74
20,Female,Wildlife and Ecotourism Management,81.53,65.77,First Class,4.72
18,Female,Crop Production Technology,80.97,59.97,Second Class Upper,4.12
18,Male,Wildlife and Ecotourism Management,57.49,41.01,Third Class,1.79
18,Male,Home and Rural Economic,95.2,71.97,First Class,4.85
20,Female,Horticultural Technology,79.39,64.64,Second Class Upper,4.1
23,Male,Fisheries Technology,75.2,58.88,Second Class Upper,3.61
21,Female,Science Laboratory Technology,88.99,63.82,First Class,4.89
18,Male,Crop Production Technology,87.9,59.63,First Class,4.86
18,Female,Horticultural Technology,89.56,55.31,Second Class Upper,4.12
18,Female,Science Laboratory Technology,87.93,60.19,Second Class Upper,3.65
25,Female,Wildlife and Ecotourism Management,92.82,67.56,First Class,4.63
18,Female,Science Laboratory Technology,71.04,53.25,Second Class Lower,3.07
21,Female,Horticultural Technology,73.32,53.87,Second Class Lower,2.99
18,Female,Wildlife and Ecotourism Management,58.16,37.6,Third Class,1.41
21,Male,Computer Science Technology,82.03,72.62,First Class,4.9
20,Male,Wildlife and Ecotourism Management,85.41,68.08,Second Class Upper,4.1
22,Female,Wildlife and Ecotourism Management,61.53,36.17,Third Class,2.01
18,Female,Computer Science Technology,81.51,75.21,First Class,4.61
20,Male,Horticultural Technology,71.02,58.3,Second Class Upper,4.36
23,Male,Science Laboratory Technology,88.88,69.65,First Class,4.6
25,Male,Wildlife and Ecotourism Management,60.18,40.69,Third Class,2.42
18,Female,Crop Production Technology,67.92,60.07,Second Class Upper,4.41
25,Male,Crop Production Technology,68.85,63.66,Second Class Upper,4.18
18,Female,Home and Rural Economic,77.22,49.21,Second Class Upper,4.43
24,Male,Home and Rural Economic,75.93,57.15,Second Class Upper,4.11
18,Female,Wildlife and Ecotourism Management,95.95,70.98,First Class,4.61
18,Male,Wildlife and Ecotourism Management,71.72,55.91,Second Class Lower,2.94
19,Male,Wildlife and Ecotourism Management,89.52,73.77,First Class,4.66
22,Male,Computer Science Technology,63.42,33.57,Third Class,1.01
19,Female,Crop Production Technology,77.36,42.9,Second Class Lower,3.27
25,Male,Home and Rural Economic,64.59,32.41,Third Class,1.48
21,Male,Home and Rural Economic,73.01,59.31,Second Class Lower,3.36
22,Male,Computer Science Technology,68.94,48.72,Second Class Lower,3.05
18,Male,Crop Production Technology,93.05,68.35,First Class,4.74
21,Female,Science Laboratory Technology,89.09,60.96,Second Class Upper,4.41
18,Male,Horticultural Technology,68.4,47.3,Second Class Lower,2.97
25,Female,Computer Science Technology,75.34,56.86,Second Class Upper,4.18
18,Male,Fisheries Technology,58.25,37.56,Third Class,2.35
18,Male,Wildlife and Ecotourism Management,56.71,50.49,Third Class,1.4
18,Female,Horticultural Technology,74.85,60.73,Second Class Upper,3.97
18,Female,Computer Science Technology,82.96,63.15,Second Class Upper,3.83
21,Female,Home and Rural Economic,89.71,68.8,First Class,4.89
23,Female,Home and Rural Economic,72.26,51.33,Second Class Lower,3.23
21,Male,Science Laboratory Technology,78.71,52.19,Second Class Upper,3.95
19,Female,Computer Science Technology,77.66,54.27,Second Class Upper,4.23
18,Female,Home and Rural Economic,86.66,70.17,First Class,4.62
18,Male,Crop Production Technology,61.79,48.9,Third Class,2.35
18,Male,Horticultural Technology,77.31,63.87,Second Class Upper,4.31
18,Male,Home and Rural Economic,81.53,66.48,Second Class Upper,4.33
18,Female,Science Laboratory Technology,92.88,64.96,First Class,4.89
22,Female,Horticultural Technology,51.38,41.56,Third Class,1.73
21,Female,Crop Production Technology,77.36,55.1,Second Class Upper,4.42
19,Male,Crop Production Technology,63.66,50.8,Second Class Lower,3.06
19,Female,Horticultural Technology,87.54,57.96,Second Class Upper,4.1
20,Female,Crop Production Technology,62.95,39.49,Third Class,1.29
25,Male,Computer Science Technology,53.55,43.67,Third Class,2.76
18,Male,Science Laboratory Technology,74.53,60.11,Second Class Upper,4.16
19,Female,Home and Rural Economic,68.29,54.47,Second Class Lower,3.32
18,Male,Wildlife and Ecotourism Management,54.71,41.95,Third Class,1.12
24,Female,Crop Production Technology,65.8,47.44,Second Class Lower,3.33
19,Female,Science Laboratory Technology,41.82,50.46,Third Class,2.39
21,Male,Wildlife and Ecotourism Management,92.75,66.16,First Class,4.84
20,Female,Crop Production Technology,74.38,57.52,Second Class Upper,3.77
24,Male,Wildlife and Ecotourism Management,93.58,60.54,First Class,4.74
23,Female,Fisheries Technology,69.29,58.85,Second Class Lower,2.88
23,Female,Horticultural Technology,84.33,70.4,First Class,4.74
21,Female,Fisheries Technology,81.02,53.16,Second Class Lower,2.97
25,Female,Horticultural Technology,80.63,62.53,Second Class Upper,3.83
19,Male,Horticultural Technology,68.0,56.5,Second Class Lower,2.91
25,Male,Fisheries Technology,78.0,50.2,Second Class Upper,3.72
18,Male,Home and Rural Economic,78.04,55.17,Second Class Upper,3.57
23,Female,Wildlife and Ecotourism Management,68.59,48.7,Second Class Lower,3.43
24,Male,Crop Production Technology,65.99,43.48,Third Class,1.95
24,Male,Science Laboratory Technology,81.32,59.99,Second Class Upper,3.87
18,Male,Computer Science Technology,64.71,39.09,Second Class Lower,3.17
20,Male,Crop Production Technology,60.57,43.97,Third Class,2.12
25,Male,Wildlife and Ecotourism Management,69.46,47.33,Second Class Lower,3.44
18,Female,Horticultural Technology,82.32,59.58,Second Class Upper,3.67
18,Male,Horticultural Technology,98.43,76.16,First Class,4.65
18,Female,Crop Production Technology,64.8,43.79,Third Class,2.75
21,Male,Home and Rural Economic,63.55,53.31,Second Class Lower,3.06
18,Male,Home and Rural Economic,91.88,73.03,First Class,4.51
20,Female,Wildlife and Ecotourism Management,82.46,62.26,Second Class Upper,3.64
24,Female,Horticultural Technology,83.5,49.62,Second Class Lower,2.82
25,Male,Science Laboratory Technology,94.68,67.65,First Class,4.99
18,Female,Fisheries Technology,73.95,54.7,Second Class Lower,2.99
21,Female,Computer Science Technology,71.82,58.35,Second Class Lower,3.44
22,Female,Horticultural Technology,85.58,67.56,First Class,5.0
18,Female,Computer Science Technology,91.06,74.4,First Class,4.8
23,Female,Science Laboratory Technology,70.9,56.43,Second Class Lower,2.82
21,Male,Crop Production Technology,56.69,34.3,Third Class,1.15
19,Female,Home and Rural Economic,71.54,49.61,Second Class Lower,3.13
19,Female,Horticultural Technology,62.71,39.86,Third Class,1.73
19,Female,Crop Production Technology,58.3,39.63,Third Class,2.09
19,Female,Computer Science Technology,70.14,48.48,Second Class Lower,3.1
18,Male,Fisheries Technology,88.98,67.98,First Class,4.97
25,Female,Science Laboratory Technology,94.28,70.97,First Class,4.77
25,Female,Fisheries Technology,91.28,60.8,Second Class Upper,4.15
18,Male,Crop Production Technology,77.25,73.35,Second Class Upper,4.34
18,Male,Home and Rural Economic,62.07,44.95,Third Class,1.26
21,Female,Horticultural Technology,62.96,43.12,Third Class,1.41
21,Male,Computer Science Technology,62.68,34.49,Third Class,1.19
20,Male,Home and Rural Economic,91.84,63.38,First Class,4.57
19,Female,Horticultural Technology,59.13,36.37,Third Class,1.92
18,Male,Computer Science Technology,91.79,71.67,First Class,4.66
25,Female,Fisheries Technology,82.41,61.44,Second Class Upper,3.9
19,Female,Wildlife and Ecotourism Management,56.97,38.69,Third Class,2.76
25,Male,Fisheries Technology,64.6,45.34,Third Class,1.28
18,Male,Horticultural Technology,74.27,52.35,Second Class Upper,4.01
18,Male,Wildlife and Ecotourism Management,86.37,75.23,First Class,4.55
25,Female,Wildlife and Ecotourism Management,86.07,55.38,Second Class Upper,3.8
20,Male,Home and Rural Economic,71.54,59.17,Second Class Lower,3.16
18,Female,Wildlife and Ecotourism Management,82.08,67.11,Second Class Upper,4.39
18,Male,Crop Production Technology,74.99,45.45,Second Class Lower,3.07
20,Female,Fisheries Technology,89.05,70.17,First Class,4.53
20,Male,Computer Science Technology,80.52,64.58,Second Class Upper,3.86
22,Male,Home and Rural Economic,82.04,45.32,Second Class Upper,3.64
25,Male,Home and Rural Economic,63.44,39.06,Second Class Lower,2.96
18,Female,Crop Production Technology,80.88,61.2,Second Class Upper,4.08
18,Female,Crop Production Technology,71.42,45.21,Second Class Lower,2.85
18,Female,Science Laboratory Technology,63.37,43.58,Third Class,1.83
20,Female,Wildlife and Ecotourism Management,63.72,42.67,Second Class Lower,3.22
21,Male,Horticultural Technology,90.0,78.96,First Class,4.71
23,Male,Crop Production Technology,88.5,62.82,Second Class Upper,3.52
18,Male,Fisheries Technology,56.35,44.43,Third Class,2.76
21,Female,Science Laboratory Technology,87.74,66.16,First Class,4.68
18,Male,Crop Production Technology,59.28,50.51,Second Class Lower,3.34
24,Female,Fisheries Technology,56.85,40.48,Third Class,1.58
18,Male,Computer Science Technology,58.5,50.85,Second Class Lower,3.13
21,Female,Fisheries Technology,67.84,65.44,Second Class Upper,3.87
19,Female,Fisheries Technology,82.61,58.61,Second Class Upper,3.82
21,Male,Horticultural Technology,72.81,45.11,Second Class Lower,2.82
18,Male,Fisheries Technology,80.36,63.97,Second Class Upper,3.84
22,Male,Crop Production Technology,54.53,47.76,Second Class Lower,3.41
21,Male,Horticultural Technology,89.89,69.02,First Class,4.85
20,Female,Horticultural Technology,67.29,34.38,Third Class,1.26
22,Female,Home and Rural Economic,86.89,60.42,First Class,4.8
22,Male,Horticultural Technology,87.55,58.77,Second Class Upper,4.34
24,Male,Science Laboratory Technology,77.81,59.74,Second Class Upper,4.16
25,Male,Wildlife and Ecotourism Management,73.18,51.74,Second Class Lower,2.9
20,Female,Home and Rural Economic,93.24,62.27,Second Class Upper,4.32
18,Female,Science Laboratory Technology,57.67,37.19,Third Class,1.54
19,Female,Wildlife and Ecotourism Management,88.04,62.49,First Class,4.73
18,Male,Fisheries Technology,60.2,43.92,Third Class,1.94
20,Male,Crop Production Technology,56.93,35.96,Third Class,2.52
18,Female,Computer Science Technology,87.58,52.87,Second Class Upper,4.38
18,Male,Crop Production Technology,69.66,54.24,Second Class Upper,4.37
18,Female,Computer Science Technology,52.3,41.93,Third Class,1.01
18,Female,Horticultural Technology,88.2,68.9,First Class,4.96
25,Female,Horticultural Technology,95.76,66.54,First Class,4.53
19,Female,Fisheries Technology,83.88,67.56,Second Class Upper,3.75
20,Female,Computer Science Technology,67.72,53.69,Second Class Lower,3.16
24,Male,Science Laboratory Technology,78.79,64.62,Second Class Upper,3.95
23,Male,Fisheries Technology,62.14,41.77,Second Class Lower,3.22
21,Female,Horticultural Technology,68.04,45.56,Second Class Lower,3.13
25,Male,Computer Science Technology,87.42,68.9,First Class,4.97
25,Female,Crop Production Technology,93.6,67.96,First Class,4.62
20,Male,Crop Production Technology,85.88,68.24,First Class,4.64
18,Male,Home and Rural Economic,66.15,45.33,Second Class Lower,3.44
25,Male,Crop Production Technology,51.93,40.35,Third Class,1.14
25,Female,Wildlife and Ecotourism Management,67.16,54.83,Second Class Lower,3.22
20,Male,Horticultural Technology,62.76,47.29,Second Class Lower,3.27
24,Female,Fisheries Technology,79.06,45.3,Second Class Lower,3.15
25,Female,Crop Production Technology,68.82,43.92,Second Class Lower,3.28
18,Male,Crop Production Technology,73.26,67.74,Second Class Upper,3.66
18,Male,Horticultural Technology,90.86,70.67,First Class,4.93
24,Male,Fisheries Technology,71.52,61.79,Second Class Upper,3.63
22,Female,Home and Rural Economic,95.79,75.75,First Class,4.7
22,Male,Crop Production Technology,63.34,34.35,Third Class,1.13
24,Female,Wildlife and Ecotourism Management,61.57,43.34,Third Class,1.98
21,Female,Wildlife and Ecotourism Management,81.03,64.39,First Class,4.83
19,Male,Computer Science Technology,84.44,64.38,Second Class Upper,4.38
24,Female,Home and Rural Economic,72.26,63.98,Second Class Upper,4.19
21,Female,Home and Rural Economic,60.48,43.91,Third Class,1.97
18,Male,Horticultural Technology,66.83,53.23,Second Class Lower,3.44
22,Male,Fisheries Technology,84.22,58.24,Second Class Upper,3.95
22,Female,Computer Science Technology,90.09,66.76,First Class,4.78
20,Female,Home and Rural Economic,98.26,69.4,First Class,4.8
